fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.942325,0.943458,0.875969,0.857494,0.901809,0.879093,0.752944
1,0.958084,0.958246,0.882277,0.850711,0.927649,0.887515,0.767681
2,0.941342,0.946676,0.864166,0.8525,0.881137,0.866582,0.728731
3,0.94746,0.950271,0.877102,0.866499,0.891192,0.878672,0.754519
4,0.949847,0.950717,0.874515,0.84,0.92487,0.880395,0.752904
