fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.645554,0.663281,0.593023,0.629496,0.452196,0.526316,0.193896
1,0.679898,0.699965,0.628719,0.60917,0.72093,0.660355,0.261717
2,0.654215,0.6787,0.584735,0.562264,0.770026,0.649945,0.181999
3,0.701758,0.716047,0.641656,0.650138,0.611399,0.630174,0.283758
4,0.67875,0.668013,0.627426,0.636111,0.593264,0.613941,0.255364
