fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.953292,0.953345,0.88845,0.862132,0.925049,0.892483,0.778965
1,0.961464,0.957689,0.894373,0.884615,0.907298,0.895813,0.789001
2,0.959564,0.961374,0.890424,0.87619,0.909091,0.892338,0.781407
3,0.964131,0.966818,0.903258,0.890805,0.918972,0.904669,0.806924
4,0.962857,0.967736,0.902174,0.890595,0.916996,0.903603,0.804701
