fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.89507,0.889961,0.818244,0.805259,0.839577,0.82206,0.637064
1,0.909943,0.905516,0.827338,0.83645,0.813739,0.824938,0.654916
2,0.910662,0.907649,0.831252,0.824987,0.840891,0.832863,0.662627
3,0.900778,0.895392,0.819169,0.81574,0.8246,0.820146,0.638376
4,0.906218,0.901523,0.829487,0.823341,0.83899,0.831092,0.659093
