fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.955668,0.955541,0.877591,0.841355,0.930966,0.883895,0.759486
1,0.959991,0.95808,0.897335,0.875233,0.927022,0.900383,0.796055
2,0.963248,0.962986,0.892399,0.87242,0.918972,0.895091,0.785926
3,0.960143,0.963749,0.890424,0.866419,0.922925,0.89378,0.782525
4,0.96415,0.96746,0.90415,0.889524,0.922925,0.905917,0.808871
