fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.958724,0.960709,0.885602,0.855072,0.929134,0.890566,0.774085
0,0.954972,0.956694,0.882527,0.856618,0.919132,0.886775,0.767087
1,0.964255,0.963629,0.89536,0.883365,0.911243,0.897087,0.791109
2,0.960696,0.960355,0.880553,0.857143,0.913043,0.884211,0.762741
3,0.961928,0.966131,0.897335,0.883588,0.91502,0.899029,0.795179
4,0.96519,0.969832,0.902174,0.884688,0.924901,0.904348,0.80518
