fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.956588,0.958393,0.875617,0.846995,0.91716,0.880682,0.75381
1,0.961897,0.962655,0.890424,0.866667,0.923077,0.893983,0.782497
2,0.963575,0.963858,0.887463,0.862963,0.920949,0.891013,0.776692
3,0.9605,0.964744,0.87463,0.84392,0.918972,0.879849,0.752256
4,0.965423,0.967928,0.901186,0.875926,0.934783,0.904398,0.804189
