fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.943613,0.947281,0.877261,0.859606,0.901809,0.880202,0.755433
1,0.958623,0.959272,0.880983,0.857143,0.914729,0.885,0.763675
2,0.941204,0.943882,0.874515,0.864322,0.888889,0.876433,0.749324
3,0.947597,0.951153,0.877102,0.874036,0.880829,0.877419,0.754229
4,0.949646,0.948979,0.877102,0.848921,0.917098,0.881694,0.756667
