fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.945863,0.948777,0.874677,0.857143,0.899225,0.87768,0.750259
1,0.957512,0.954744,0.877102,0.859606,0.901809,0.880202,0.755101
2,0.945713,0.948301,0.874515,0.869898,0.881137,0.875481,0.749088
3,0.950837,0.954391,0.882277,0.873418,0.893782,0.883483,0.764768
4,0.953917,0.956058,0.868047,0.830233,0.92487,0.875,0.740947
