fold,AUC,AUPR,Accuracy,Precision,Recall,F1,MCC
0,0.908384,0.904672,0.829374,0.84406,0.808089,0.825683,0.65935
1,0.911279,0.908078,0.827067,0.822663,0.833831,0.828209,0.654194
2,0.912326,0.909775,0.836275,0.84279,0.826772,0.834704,0.672671
3,0.904032,0.897237,0.826093,0.841581,0.803421,0.822059,0.652857
4,0.912219,0.906402,0.83546,0.846369,0.819712,0.832828,0.671253
